2025-04-23 03:13:14.827349 | XAUUSDm | SELL | Entry: 3330.116 | SL: 3350.77 | TP: 3226.85
2025-04-23 03:38:15.119887 | XAUUSDm | BUY | Entry: 3342.01 | SL: 3329.2 | TP: 3406.05
2025-04-23 03:43:17.663411 | XAUUSDm | BUY | Entry: 3341.057 | SL: 3329.2 | TP: 3400.33
2025-04-23 03:48:17.670269 | XAUUSDm | BUY | Entry: 3345.998 | SL: 3329.2 | TP: 3429.97
2025-04-23 03:53:17.936777 | XAUUSDm | BUY | Entry: 3340.449 | SL: 3329.2 | TP: 3396.68
2025-04-23 08:12:15.582860 | XAUUSDm | SELL | Entry: 3310.669 | SL: 3326.28 | TP: 3232.63
2025-04-23 08:32:26.802416 | XAUUSDm | BUY | Entry: 3315.021 | SL: 3296.35 | TP: 3408.39
2025-04-23 08:37:29.792648 | XAUUSDm | BUY | Entry: 3315.668 | SL: 3296.97 | TP: 3409.14
2025-04-23 08:42:30.413472 | XAUUSDm | BUY | Entry: 3316.972 | SL: 3298.13 | TP: 3411.16
2025-04-23 08:47:35.433992 | XAUUSDm | BUY | Entry: 3317.599 | SL: 3299.93 | TP: 3405.96
2025-04-23 08:53:05.976448 | XAUUSDm | BUY | Entry: 3318.559 | SL: 3300.85 | TP: 3407.12
2025-04-23 08:58:05.985317 | XAUUSDm | BUY | Entry: 3320.399 | SL: 3302.45 | TP: 3410.13
2025-04-23 09:03:06.275174 | XAUUSDm | BUY | Entry: 3324.258 | SL: 3308.39 | TP: 3403.62
2025-04-23 09:08:06.552793 | XAUUSDm | BUY | Entry: 3326.216 | SL: 3309.88 | TP: 3407.89
2025-04-23 09:13:07.362381 | XAUUSDm | BUY | Entry: 3331.882 | SL: 3315.14 | TP: 3415.58
2025-04-23 09:18:09.712589 | XAUUSDm | BUY | Entry: 3334.695 | SL: 3318.37 | TP: 3416.31
2025-04-23 09:23:09.718180 | XAUUSDm | BUY | Entry: 3339.545 | SL: 3322.73 | TP: 3423.62
2025-04-23 09:28:15.551047 | XAUUSDm | BUY | Entry: 3336.424 | SL: 3319.61 | TP: 3420.5
2025-04-23 09:43:15.567120 | XAUUSDm | SELL | Entry: 3329.177 | SL: 3340.54 | TP: 3272.38
2025-04-23 09:48:26.524344 | XAUUSDm | SELL | Entry: 3328.941 | SL: 3340.54 | TP: 3270.97
2025-04-23 09:53:27.911240 | XAUUSDm | SELL | Entry: 3324.418 | SL: 3340.29 | TP: 3245.03
2025-04-23 09:58:28.404779 | XAUUSDm | SELL | Entry: 3320.29 | SL: 3336.76 | TP: 3237.94
